// Cantrips
// -----------------
// Alter Flames
// Buoyancy					AGTT_Shout_Buoyancy
// Candlelight				AGTT_Shout_Candlelight
// Chop (Ritual)
// Copy Text
// Fortify					AGTT_Shout_Fortify
// Mending
// Beast Finder
// Vero's Knock				AGTT_Projectile_VerosKnock

new entry "AGTT_Shout_Buoyancy"
type "SpellData"
data "SpellType" "Shout"
data "SpellSchool" "Alteration"
data "Level" "0"
data "TargetConditions" "Self()"
data "DisplayName" "Buoyancy"
data "Description" "Your swimming speed is increased, and you may walk on shallow running water as if you were walking on ground."
data "SpellProperties" "ApplyStatus(AGTT_STATUS_BUOYANCY,100,9)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_BUOYANCY,100,9)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Utility_Root_01:::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Utility_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Utility_CastFX_01:Dummy_CastFX::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Utility_TargetAoe_CastFX_Textkey_01,Detach:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_TargetAoe_HandFX_Textkey_02:Dummy_L_HandFX,Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::"
data "PositionEffect" "VFX_Spells_Cast_Intent_Utility_TargetAoEUtilityWater_Impact_Textkey_01::VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_TargetAoEUtilityWater_Impact_Textkey_02::Cast:0:None::None::0:0::::"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Utility_CreateWater_L1to3"
data "VocalComponentSound" "Vocal_Component_CreateWater"
data "TargetSound" "Spell_Impact_Utility_CreateWater_L1to3"
data "UseCosts" "ActionPoint:1"
data "SpellAnimationArcaneMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;09ae2f11-f5b4-42f5-ae16-687a5b57d500(SPL_Somatic_Aoe_Combat_01_Cast);10caea0e-c949-4d91-8ab7-3b50019dd054(SPL_Somatic_Aoe_Combat_01_Recover);;"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasSomaticComponent;IsSpell;Stealth"
data "MemoryCost" "1"

new entry "AGTT_Shout_Candlelight"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Alteration"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_CANDLELIGHT, 100, 9)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_CANDLELIGHT, 100, 9)"
data "Icon" "Spell_Evocation_DancingLights"
data "DisplayName" "Candlelight"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Utility_Root_01:::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Utility_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Utility_CastFX_01:Dummy_CastFX::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Utility_TargetTouch_R_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_TargetTouch_R_HandFX_Textkey_01,Detach:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Utility_TargetTouch_Impact_Root_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_TargetTouch_Impact_BodyFX_Textkey_01:Dummy_BodyFX:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Utility_DancingLights_L0"
data "VocalComponentSound" "Vocal_Component_Light"
data "TargetSound" "Spell_Impact_Utility_DancingLights_L0"
data "UseCosts" "BonusActionPoint:1"
